O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
1,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,125001,1451,126452,56.94,1,1,DMK
2,DILLIY K.M,Desiya Murpokku Dravida Kazhagam,2553,23,2576,1.16,1,4,DMDK
3,NAGARAJ S,Bahujan Samaj Party,1031,7,1038,0.47,1,6,BSP
4,USHA,Naam Tamilar Katchi,11643,58,11701,5.27,1,3,NTK
5,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,0,254,0.11,1,12,AMAK
6,SARAVANAN V,Indiya Jananayaka Katchi,813,3,816,0.37,1,7,IJK
7,PRAKASH M,Pattali Makkal Katchi,75004,510,75514,34.0,1,2,PMK
8,SARAVANAN E,Independent,526,6,532,0.24,1,8,I
9,DEVANATHAN R,Independent,482,0,482,0.22,1,9,I
10,PRAKASH K,Independent,349,2,351,0.16,1,11,I
11,PRAKASH M,Independent,196,0,196,0.09,1,13,I
12,LAKSHMI R,Independent,369,5,374,0.17,1,10,I
13,NOTA,None of the Above,1775,8,1783,0.8,1,5,NOTA
1,DURAI. CHANDRASEKAR,Indian National Congress,93669,859,94528,44.94,2,1,INC
2,BALARAMAN. P,All India Anna Dravida Munnetra Kazhagam,84534,305,84839,40.33,2,2,AIADMK
3,BHAVANI ILAVENIL. J,Bahujan Samaj Party,1102,4,1106,0.53,2,7,BSP
4,DESINGURAJAN. D,Makkal Needhi Maiam,5372,22,5394,2.56,2,4,MNM
5,MAHESWARI. A,Naam Tamilar Katchi,18973,54,19027,9.05,2,3,NTK
6,PON. RAJA,Amma Makkal Munnettra Kazagam,2813,19,2832,1.35,2,5,AMMK
7,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,189,1,190,0.09,2,10,AMDMK
8,ASHOK PRIYADARSHAN. S,Independent,470,0,470,0.22,2,8,I
9,SAMBATH KUMAR.C.H,Independent,116,0,116,0.06,2,11,I
10,SUGUMAR. K,Independent,298,0,298,0.14,2,9,I
11,NOTA,None of the Above,1551,3,1554,0.74,2,6,NOTA
1,G.Hari,All India Anna Dravida Munnetra Kazhagam,89704,1357,91061,39.15,3,2,AIADMK
2,D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,3903,25,3928,1.69,3,4,DMDK
3,S.Chandran,Dravida Munnetra Kazhagam,118005,2309,120314,51.72,3,1,DMK
4,N.MAGENDIRAN,Bahujan Samaj Party,711,6,717,0.31,3,8,BSP
5,L.AKILA,Naam Tamilar Katchi,11900,107,12007,5.16,3,3,NTK
6,M.D.Thanigai Malai,Indiya Jananayaka Katchi,352,1,353,0.15,3,10,IJK
7,Manikkam,All India Jananayaka Makkal Kazhagam,121,0,121,0.05,3,13,AIJMK
8,M.Hari,Independent,365,1,366,0.16,3,9,I
9,Chandran,Independent,59,1,60,0.03,3,14,I
10,Chandran,Independent,46,0,46,0.02,3,15,I
11,A.J.Suresh,Independent,174,8,182,0.08,3,11,I
12,Shettu,Independent,147,0,147,0.06,3,12,I
13,D.PAULRAJ,Independent,886,3,889,0.38,3,6,I
14,V.P.Vijayan,Independent,760,8,768,0.33,3,7,I
15,NOTA,None of the Above,1653,12,1665,0.72,3,5,NOTA
1,"RAAJENDRAN, V.G.",Dravida Munnetra Kazhagam,106316,1393,107709,50.27,4,1,DMK
2,"DOSS, D.",Bahujan Samaj Party,2314,15,2329,1.09,4,4,BSP
3,"RAMANAH, BE VEE",All India Anna Dravida Munnetra Kazhagam,84508,500,85008,39.68,4,2,AIADMK
4,"GURU, N.",Amma Makkal Munnettra Kazagam,1072,5,1077,0.5,4,6,AMMK
5,"PASUPATHY, P.",Naam Tamilar Katchi,14943,85,15028,7.01,4,3,NTK
6,"KUMAR, E.",Independent,132,1,133,0.06,4,10,I
7,"SASIKUMAR, J.",Independent,87,0,87,0.04,4,12,I
8,"BALA KRISHNAN, N.",Independent,232,0,232,0.11,4,9,I
9,"RAMANAN, R.",Independent,97,0,97,0.05,4,11,I
10,"RAJENDIRAN, G.",Independent,385,3,388,0.18,4,7,I
11,"REVATHI, R.",Independent,281,2,283,0.13,4,8,I
12,NOTA,None of the Above,1857,15,1872,0.87,4,5,NOTA
1,Krishnaswamy A,Dravida Munnetra Kazhagam,148383,1195,149578,56.72,5,1,DMK
2,Sathyamurthy A C,Bahujan Samaj Party,2880,11,2891,1.1,5,6,BSP
3,Rajamannar S X,Pattali Makkal Katchi,55249,219,55468,21.03,5,2,PMK
4,Elumalai T.A.,Amma Makkal Munnettra Kazagam,8771,34,8805,3.34,5,5,AMMK
5,Boshya Gayathri M,My India Party,288,2,290,0.11,5,11,MIP
6,Manimekalai A,Naam Tamilar Katchi,29804,67,29871,11.33,5,3,NTK
7,Revathi Manimegalai J,Makkal Needhi Maiam,11877,50,11927,4.52,5,4,MNM
8,Sivakumar S,Independent,403,0,403,0.15,5,9,I
9,Dhasarathan R,Independent,173,0,173,0.07,5,15,I
10,Purushothaman B,Independent,173,2,175,0.07,5,14,I
11,Ravikumar M,Independent,448,0,448,0.17,5,8,I
12,Rajesh P,Independent,241,0,241,0.09,5,12,I
13,Venkatesan J,Independent,240,0,240,0.09,5,13,I
14,Velu S,Independent,359,0,359,0.14,5,10,I
15,NOTA,None of the Above,2849,18,2867,1.09,5,7,NOTA
1,Sankar N M,Desiya Murpokku Dravida Kazhagam,1895,16,1911,0.64,6,6,DMDK
2,CHARLES S,Bahujan Samaj Party,763,10,773,0.26,6,8,BSP
3,Nasar S M,Dravida Munnetra Kazhagam,148845,1442,150287,49.94,6,1,DMK
4,Pandiarajan K,All India Anna Dravida Munnetra Kazhagam,94331,681,95012,31.57,6,2,AIADMK
5,Udhayakumar V,Makkal Needhi Maiam,16982,110,17092,5.68,6,4,MNM
6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1251,12,1263,0.42,6,7,TNIK
7,Banumathi,My India Party,126,1,127,0.04,6,15,MIP
8,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,0,120,0.04,6,16,TMNP
9,VIJAYALAKSHMI G,Naam Tamilar Katchi,29953,134,30087,10.0,6,3,NTK
10,Viswanathan R,MGR Makkal Katchi,108,0,108,0.04,6,17,MMK
11,Akilan T.M.,Independent,72,0,72,0.02,6,21,I
12,Chandrasekar.A,Independent,105,0,105,0.03,6,18,I
13,Sugumar M,Independent,143,0,143,0.05,6,14,I
14,Dharani K,Independent,184,3,187,0.06,6,13,I
15,Durgaprasad G,Independent,73,2,75,0.02,6,20,I
16,Nagaraj M,Independent,198,0,198,0.07,6,12,I
17,Pandiarajan G,Independent,359,1,360,0.12,6,9,I
18,Venkatesan M,Independent,95,0,95,0.03,6,19,I
19,Jayakumar P,Independent,299,1,300,0.1,6,10,I
20,Shanavas Khan J,Independent,231,0,231,0.08,6,11,I
21,NOTA,None of the Above,2361,20,2381,0.79,6,5,NOTA
1,GANAPATHY.K,Dravida Munnetra Kazhagam,120441,857,121298,44.29,7,1,DMK
2,SANTHAKUMAR.Y,Bahujan Samaj Party,622,6,628,0.23,7,8,BSP
3,BENJAMIN.P,All India Anna Dravida Munnetra Kazhagam,89313,264,89577,32.71,7,2,AIADMK
4,LAVANYA.P,Nationalist Congress Party,348,1,349,0.13,7,10,NCP
5,GANESHKUMAR.G,Naam Tamilar Katchi,20999,46,21045,7.68,7,4,NTK
6,SHANMUGAM.K,Tamil Nadu Ilangyar Katchi,906,2,908,0.33,7,7,TNIK
7,SUMITHRA.R,Bahujan Dravida Party,64,0,64,0.02,7,20,BDP
8,NEVIS STELLA MARY.B,Anaithu Makkal Arasiyal Katchi,124,0,124,0.05,7,15,AMAK
9,PADMA PRIYA.S,Makkal Needhi Maiam,33310,91,33401,12.2,7,3,MNM
10,MUTHURAMAN.S,Anna MGR Dravida Makkal Kalgam,69,0,69,0.03,7,18,AMDMK
11,LUCKY MURUGAN.E,Amma Makkal Munnettra Kazagam,2648,12,2660,0.97,7,5,AMMK
12,ABARAJITHAN.R,Independent,142,1,143,0.05,7,14,I
13,AMALRAJ.S,Independent,69,0,69,0.03,7,18,I
14,ARUNKUMAR.A,Independent,95,0,95,0.03,7,17,I
15,GANAPATHY.R,Independent,96,0,96,0.04,7,16,I
16,SELVAKUMAR.V,Independent,290,0,290,0.11,7,11,I
17,PRIYA.K,Independent,549,1,550,0.2,7,9,I
18,BENJAMIN MOSES.S,Independent,149,0,149,0.05,7,13,I
19,MURUGAN.D,Independent,161,0,161,0.06,7,12,I
20,RAVI.C.V,Independent,48,0,48,0.02,7,21,I
21,NOTA,None of the Above,2137,9,2146,0.78,7,6,NOTA
1,V ALEXANDER,All India Anna Dravida Munnetra Kazhagam,71908,500,72408,30.13,8,2,AIADMK
2,R Radha,Nationalist Congress Party,613,2,615,0.26,8,8,NCP
3,JOSEPH SAMUEL,Dravida Munnetra Kazhagam,113371,1183,114554,47.67,8,1,DMK
4,R ANBU THENARASAN,Naam Tamilar Katchi,22638,63,22701,9.45,8,3,NTK
5,S Veena,Anaithu Makkal Arasiyal Katchi,231,2,233,0.1,8,10,AMAK
6,S VEDHACHALAM,Amma Makkal Munnettra Kazagam,2616,15,2631,1.09,8,5,AMMK
7,S VAITHESWARAN,Makkal Needhi Maiam,22286,84,22370,9.31,8,4,MNM
8,M S ARUMUGAM,Independent,141,1,142,0.06,8,14,I
9,N Ganesan,Independent,55,0,55,0.02,8,21,I
10,A S Kesavan,Independent,59,0,59,0.02,8,19,I
11,G Srinivasan,Independent,56,1,57,0.02,8,20,I
12,G Soma Sundaram,Independent,80,0,80,0.03,8,18,I
13,P Dhanraj,Independent,52,3,55,0.02,8,21,I
14,NARMADA NANDHAKUMAR,Independent,176,1,177,0.07,8,11,I
15,Bharadan,Independent,111,0,111,0.05,8,16,I
16,K Bharathi,Independent,801,6,807,0.34,8,7,I
17,S Praveen,Independent,251,0,251,0.1,8,9,I
18,A R MURUGAVEL,Independent,94,1,95,0.04,8,17,I
19,T MUNIANDI,Independent,156,0,156,0.06,8,13,I
20,Ravi,Independent,44,0,44,0.02,8,23,I
21,C RAGHUL,Independent,138,1,139,0.06,8,15,I
22,G Vijayakumar,Independent,39,0,39,0.02,8,24,I
23,T Joseph Samuvel SanthaKumar,Independent,162,0,162,0.07,8,12,I
24,NOTA,None of the Above,2332,26,2358,0.98,8,6,NOTA
1,SUDHARSANAM. S,Dravida Munnetra Kazhagam,150654,831,151485,50.04,9,1,DMK
2,DEEPAK. S,Bahujan Samaj Party,1390,3,1393,0.46,9,7,BSP
3,Moorthy. V,All India Anna Dravida Munnetra Kazhagam,94206,208,94414,31.19,9,2,AIADMK
4,ARAVIND KUMAR. P,Desiya Makkal Sakthi Katchi,465,0,465,0.15,9,8,DMSK
5,ELUMALAI. R,Naam Tamilar Katchi,27411,42,27453,9.07,9,3,NTK
6,SAMBATH. E,Shiv Sena,175,0,175,0.06,9,12,SS
7,DHAKSHNAMOORTHY. D,Amma Makkal Munnettra Kazagam,7088,16,7104,2.35,9,5,AMMK
8,YUVARAJ. M,Anna MGR Dravida Makkal Kalgam,81,0,81,0.03,9,19,AMDMK
9,VINOTH KUMAR. M,Naadaalum Makkal Katchi,113,1,114,0.04,9,15,NMK
10,RAMESH,Makkal Needhi Maiam,15838,39,15877,5.25,9,4,MNM
11,ARIVUNITHI. S,Independent,108,0,108,0.04,9,16,I
12,SAKTHIVEL. A,Independent,83,2,85,0.03,9,18,I
13,SATHISH KUMAR. S,Independent,62,0,62,0.02,9,20,I
14,SUDHARSANAN. D,Independent,169,1,170,0.06,9,13,I
15,NIRMAL KUMAR. M,Independent,101,0,101,0.03,9,17,I
16,BABU. M.G,Independent,411,2,413,0.14,9,11,I
17,MOORTHY. S,Independent,437,0,437,0.14,9,9,I
18,RAMESH. G,Independent,47,0,47,0.02,9,21,I
19,RAMU. S,Independent,431,0,431,0.14,9,10,I
20,JAYASEELAN. S,Independent,119,0,119,0.04,9,14,I
21,NOTA,None of the Above,2161,5,2166,0.72,9,6,NOTA
1,K.KUPPAN,All India Anna Dravida Munnetra Kazhagam,50435,89,50524,25.26,10,2,AIADMK
2,M.KOTTESWARAN,Bahujan Samaj Party,367,0,367,0.18,10,9,BSP
3,K.P.SHANKAR,Dravida Munnetra Kazhagam,87703,482,88185,44.09,10,1,DMK
4,R.EGAVALLI,Naadaalum Makkal Katchi,253,0,253,0.13,10,11,NMK
5,D.SASIRAJ,Samata Party,291,0,291,0.15,10,10,SP
6,SEEMAN,Naam Tamilar Katchi,48497,100,48597,24.3,10,3,NTK
7,M.SOUNDARA PANDIAN,Amma Makkal Munnettra Kazagam,1413,4,1417,0.71,10,5,AMMK
8,D.MOHAN,Makkal Needhi Maiam,7025,28,7053,3.53,10,4,MNM
9,K.GOPINATH,Independent,96,0,96,0.05,10,16,I
10,V.SURESHBALAJI,Independent,29,0,29,0.01,10,21,I
11,M.CHELLAM,Independent,184,0,184,0.09,10,13,I
12,D.THAMIZHIZHAN,Independent,103,0,103,0.05,10,15,I
13,B.DHANASEKARAN,Independent,88,0,88,0.04,10,17,I
14,C.DHANRAJ,Independent,115,0,115,0.06,10,14,I
15,PRAVINA,Independent,52,0,52,0.03,10,19,I
16,M.A.MICHAEL RAJ,Independent,601,2,603,0.3,10,7,I
17,N.RAMESH KUMAR,Independent,584,1,585,0.29,10,8,I
18,N.RAJESH KUMAR,Independent,48,0,48,0.02,10,20,I
19,U.VENKATESH,Independent,224,0,224,0.11,10,12,I
20,B.ZAKIR HUSSAIN,Independent,71,0,71,0.04,10,18,I
21,NOTA,None of the Above,1106,5,1111,0.56,10,6,NOTA
1,EBENEZER. J.J. (@) JOHN EBENEZER.J,Dravida Munnetra Kazhagam,95516,247,95763,51.2,11,1,DMK
2,RAAJESH.R.S.,All India Anna Dravida Munnetra Kazhagam,53204,80,53284,28.49,11,2,AIADMK
3,VIJAYAN.P,Bahujan Samaj Party,361,0,361,0.19,11,8,BSP
4,RAMADASS . E,Makkal Nalvaazhvuk Katchi,104,0,104,0.06,11,14,MNK
5,DR. KALIDAS . P,Amma Makkal Munnettra Kazagam,1848,4,1852,0.99,11,5,AMMK
6,GOWRISHANKAR . K,Naam Tamilar Katchi,20401,36,20437,10.93,11,3,NTK
7,SIVAKUMAR.S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),214,1,215,0.11,11,11,SUCOI(C)
8,FAZIL . A,Makkal Needhi Maiam,11181,17,11198,5.99,11,4,MNM
9,BABU MAILAN . A,Republican Party of India (Athawale),115,0,115,0.06,11,12,RPI(A)
10,MOHAN . R,United States of India Party,79,0,79,0.04,11,16,USIP
11,VENUGOPAL.D,Shiv Sena,32,2,34,0.02,11,29,SS
12,ETHIRAJ.R,Independent,26,0,26,0.01,11,31,I
13,KANDEEPAN.G,Independent,111,0,111,0.06,11,13,I
14,KALIDASS,Independent,67,0,67,0.04,11,18,I
15,GUNASEKARAN.G,Independent,92,0,92,0.05,11,15,I
16,SASIDARAN.S,Independent,241,0,241,0.13,11,9,I
17,SANTHAKUMAR . A,Independent,557,0,557,0.3,11,7,I
18,Daniel Sachin Mani.E,Independent,222,0,222,0.12,11,10,I
19,DEVAKUMAR.R,Independent,48,0,48,0.03,11,20,I
20,DEVARAJ.M,Independent,48,0,48,0.03,11,20,I
21,FRANKLIN.D,Independent,44,0,44,0.02,11,23,I
22,PREMKUMAR.P,Independent,79,0,79,0.04,11,16,I
23,PURUSHOTHAMAN . K,Independent,44,0,44,0.02,11,23,I
24,BOOTHIRAJAN.G,Independent,39,0,39,0.02,11,25,I
25,MADHAN RAJ . D,Independent,22,0,22,0.01,11,32,I
26,MARIMUTHU.P,Independent,38,0,38,0.02,11,26,I
27,RAJESH . I,Independent,47,0,47,0.03,11,22,I
28,RAJESH . S,Independent,36,1,37,0.02,11,27,I
29,VIVEK.C,Independent,27,0,27,0.01,11,30,I
30,VENKATRAMAN . C,Independent,36,1,37,0.02,11,27,I
31,SRIDHAR . C,Independent,55,0,55,0.03,11,19,I
32,NOTA,None of the Above,1702,2,1704,0.91,11,6,NOTA
1,SURESH. C,Bahujan Samaj Party,515,0,515,0.26,12,7,BSP
2,SHEKAR. R.D,Dravida Munnetra Kazhagam,104580,687,105267,52.53,12,1,DMK
3,DHANAPALAN N.R,All India Anna Dravida Munnetra Kazhagam,50093,198,50291,25.1,12,2,AIADMK
4,SOOSAI. M.A,Republican Party of India (Athawale),296,0,296,0.15,12,8,RPI(A)
5,SEBASTIN. J,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),194,0,194,0.1,12,9,SUCOI(C)
6,PONNUSAMY. A,Makkal Needhi Maiam,17026,46,17072,8.52,12,4,MNM
7,MERLIN SUGANTHI. S,Naam Tamilar Katchi,19787,34,19821,9.89,12,3,NTK
8,LAKSHMI NARAYANAN. E,Amma Makkal Munnettra Kazagam,4039,3,4042,2.02,12,5,AMMK
9,UDAYAKUMAR. S,Independent,59,1,60,0.03,12,19,I
10,KADHIRAVAN. M,Independent,48,0,48,0.02,12,20,I
11,SATHISHKUMAR. S,Independent,106,0,106,0.05,12,15,I
12,SATHEESH. J,Independent,174,0,174,0.09,12,10,I
13,SARAVANA PERUMAL. R,Independent,65,0,65,0.03,12,18,I
14,SELVARAJ. R,Independent,86,1,87,0.04,12,17,I
15,SEKAR. P,Independent,166,0,166,0.08,12,12,I
16,PARTHIPAN. P,Independent,172,0,172,0.09,12,11,I
17,PREM ANAND. J,Independent,112,0,112,0.06,12,14,I
18,RAJESH. K,Independent,163,0,163,0.08,12,13,I
19,RAJESH KUMAR. S,Independent,90,0,90,0.04,12,16,I
20,VASANTHA KUMAR. M,Independent,40,0,40,0.02,12,23,I
21,VINOTHKUMAR. G,Independent,45,0,45,0.02,12,22,I
22,VENKATESH. L,Independent,46,0,46,0.02,12,21,I
23,NOTA,None of the Above,1508,7,1515,0.76,12,6,NOTA
1,AADIRAJARAM,All India Anna Dravida Munnetra Kazhagam,34801,337,35138,20.27,13,2,AIADMK
2,MJS.JAMAL MOHAMED MEERA,Bahujan Samaj Party,1286,9,1295,0.75,13,6,BSP
3,M.K. STALIN,Dravida Munnetra Kazhagam,104305,1217,105522,60.86,13,1,DMK
4,ASHOK KUMAR.S,New Generation People’s Party,257,0,257,0.15,13,10,NGPP
5,J.ARUMUGAM,Amma Makkal Munnettra Kazagam,1075,5,1080,0.62,13,7,AMMK
6,ELUMALAI.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,69,0,69,0.04,13,21,VTVTK
7,F.CAMILUS SELVA,Naam Tamilar Katchi,11234,45,11279,6.51,13,4,NTK
8,A.SEETHA,Bahujan Dravida Party,41,0,41,0.02,13,27,BDP
9,SURESH,Tamil Nadu Ilangyar Katchi,619,1,620,0.36,13,9,TNIK
10,S.SURESHKUMAR,Makkalatchi Katchi,38,5,43,0.02,13,26,MK
11,D.SURESHBABU,Desiya Makkal Sakthi Katchi,87,0,87,0.05,13,19,DMSK
12,E.RAJENDRAN,Anna MGR Dravida Makkal Kalgam,25,5,30,0.02,13,34,AMDMK
13,M.RAJENDRAN,National Democratic Party of South India,65,0,65,0.04,13,22,NDPSI
14,VIVEKRAJ.J,Thamizhaga Munnetra Congress,116,0,116,0.07,13,15,TMC
15,G.VELMURUGAN,Shiv Sena,130,2,132,0.08,13,13,SS
16,A.JAGADISH KUMAR,Makkal Needhi Maiam,13989,87,14076,8.12,13,3,MNM
17,AGNI SRI RAMACHANDRAN,Independent,680,1,681,0.39,13,8,I
18,L.KATHIRESAN,Independent,118,0,118,0.07,13,14,I
19,SATHIYASEELAN,Independent,86,0,86,0.05,13,20,I
20,V.SURESHKUMAR,Independent,22,0,22,0.01,13,36,I
21,J.SURIYAMUTHU,Independent,109,1,110,0.06,13,16,I
22,M.A.S. SENTHIL KUMAR,Independent,32,1,33,0.02,13,32,I
23,P.SENTHIL KUMAR,Independent,38,0,38,0.02,13,29,I
24,R.SELVAM,Independent,32,1,33,0.02,13,32,I
25,DIVYA,Independent,180,1,181,0.1,13,12,I
26,DEVIKARANI,Independent,37,0,37,0.02,13,31,I
27,AL. NARESH KUMAR,Independent,198,0,198,0.11,13,11,I
28,NIRMALA DEVI,Independent,29,0,29,0.02,13,35,I
29,D.NILAMANI,Independent,44,1,45,0.03,13,25,I
30,K. PANNERSELVAM,Independent,38,2,40,0.02,13,28,I
31,MALARVIZHI,Independent,92,0,92,0.05,13,18,I
32,MIRZA SAFDAR ALI,Independent,97,0,97,0.06,13,17,I
33,RAMA DEVI,Independent,61,0,61,0.04,13,23,I
34,B.VIJAYA KUMAR,Independent,18,0,18,0.01,13,37,I
35,C.JEEVAKUMAR,Independent,52,0,52,0.03,13,24,I
36,P.HARISHKUMAR,Independent,38,0,38,0.02,13,29,I
37,NOTA,None of the Above,1518,11,1529,0.88,13,5,NOTA
1,D.Subamangalam,Desiya Murpokku Dravida Kazhagam,1081,13,1094,0.76,14,6,DMDK
2,A.Palanivel,Bahujan Samaj Party,221,1,222,0.15,14,9,BSP
3,J.C.D.Prabhakar,All India Anna Dravida Munnetra Kazhagam,38601,289,38890,26.99,14,2,AIADMK
4,A . Vetriazhagan,Dravida Munnetra Kazhagam,75347,780,76127,52.83,14,1,DMK
5,L.Govindaraj,Nam India Naam Indiyar Katchi,188,1,189,0.13,14,12,NINIK
6,S. Raju Bharathi,Desiya Makkal Sakthi Katchi,88,0,88,0.06,14,15,DMSK
7,Jagadesh Jayakumar,Valamaana Tamizhagam Katchi,261,0,261,0.18,14,8,VTK
8,R.Sridar,Naam Tamilar Katchi,10846,68,10914,7.57,14,4,NTK
9,Sriharan,Makkal Needhi Maiam,13282,82,13364,9.27,14,3,MNM
10,C.A.Ashok Kumar,Independent,39,1,40,0.03,14,21,I
11,A . Ajith Kumar,Independent,80,0,80,0.06,14,16,I
12,G.Iyanar,Independent,34,2,36,0.02,14,22,I
13,S.Kandasamy,Independent,68,6,74,0.05,14,17,I
14,M.Gunasekaran,Independent,206,0,206,0.14,14,10,I
15,A.S.Kumar,Independent,42,0,42,0.03,14,20,I
16,S.Chandrika,Independent,193,1,194,0.13,14,11,I
17,Syed Rayhan,Independent,409,0,409,0.28,14,7,I
18,G. Devapriyan,Independent,27,0,27,0.02,14,23,I
19,S.Baskar,Independent,171,0,171,0.12,14,13,I
20,M.Murali Vinodh,Independent,98,0,98,0.07,14,14,I
21,C.Mohan,Independent,54,0,54,0.04,14,18,I
22,C.Raghul,Independent,24,1,25,0.02,14,24,I
23,M .Jalal,Independent,43,0,43,0.03,14,19,I
24,NOTA,None of the Above,1430,14,1444,1.0,14,5,NOTA
1,KALYANI.P.L,All India Anna Dravida Munnetra Kazhagam,26602,112,26714,19.98,15,2,AIADMK
2,SIVAKUMAR.P,Dravida Munnetra Kazhagam,81283,444,81727,61.13,15,1,DMK
3,SEKAR.M.P,Desiya Murpokku Dravida Kazhagam,1785,2,1787,1.34,15,5,DMDK
4,BAGAVATH SINGH.M,Bahujan Samaj Party,352,3,355,0.27,15,7,BSP
5,ILLAVANJI.Dr.R,Naam Tamilar Katchi,10892,29,10921,8.17,15,3,NTK
6,OBATH.S,Makkal Needhi Maiam,9670,40,9710,7.26,15,4,MNM
7,PRABHAKARAN.K,Makkalatchi Katchi,78,1,79,0.06,15,15,MK
8,RAVIKUMAR.S,Republican Party of India (Sivaraj),62,0,62,0.05,15,17,RPI(S)
9,RAVIPARAIYANAR.D,Republican Party of India (Athawale),41,0,41,0.03,15,20,RPI(A)
10,UDAYA CHANDRAN .R,Independent,76,1,77,0.06,15,16,I
11,KALYANI.K,Independent,128,1,129,0.1,15,11,I
12,KOLANJI.M,Independent,85,0,85,0.06,15,14,I
13,GOVINDARAJ.G,Independent,33,0,33,0.02,15,23,I
14,SANTHANU.S,Independent,38,0,38,0.03,15,21,I
15,SIHAMANI.G,Independent,213,1,214,0.16,15,8,I
16,SUNDAR.G,Independent,144,0,144,0.11,15,9,I
17,SELVAKUMAR.A,Independent,136,0,136,0.1,15,10,I
18,SEKAR.E,Independent,124,1,125,0.09,15,12,I
19,PREMKUMAR.G,Independent,44,0,44,0.03,15,19,I
20,BIRLABOSE.M,Independent,29,0,29,0.02,15,24,I
21,MALATHI.S,Independent,57,0,57,0.04,15,18,I
22,RANGANATHAN.M,Independent,37,0,37,0.03,15,22,I
23,RAMESH BABU.M,Independent,105,1,106,0.08,15,13,I
24,NOTA,None of the Above,1042,4,1046,0.78,15,6,NOTA
1,K.P.SUNDARAPRATHABAN,Bahujan Samaj Party,357,4,361,0.3,16,8,BSP
2,I.PARANTHAMEN,Dravida Munnetra Kazhagam,68160,672,68832,57.71,16,1,DMK
3,T.PRABHU,Desiya Murpokku Dravida Kazhagam,1270,23,1293,1.08,16,5,DMDK
4,B.JOHN PANDIAN,All India Anna Dravida Munnetra Kazhagam,29729,335,30064,25.21,16,2,AIADMK
5,P.GEETHA LAKSHMI,Naam Tamilar Katchi,6237,39,6276,5.26,16,4,NTK
6,J.CHANDRAKALA,Lok Jan Shakti Party,91,1,92,0.08,16,12,LJSP
7,U. PRIYADARSINI,Makkal Needhi Maiam,9933,57,9990,8.38,16,3,MNM
8,R.REVANTH,Anaithu Makkal Arasiyal Katchi,45,0,45,0.04,16,15,AMAK
9,G.SHEEJA,Nam India Naam Indiyar Katchi,55,0,55,0.05,16,14,NINIK
10,N.ARAVINTH KUMAR,Independent,38,0,38,0.03,16,17,I
11,V.ESWARAN,Independent,22,4,26,0.02,16,19,I
12,M.UTHAYAKUMAR,Independent,39,2,41,0.03,16,16,I
13,Dr.N. GUNASEKAR,Independent,107,2,109,0.09,16,10,I
14,V.SEKAR,Independent,26,2,28,0.02,16,18,I
15,A.PARANTHAMAN,Independent,98,0,98,0.08,16,11,I
16,V. PRABHU,Independent,491,1,492,0.41,16,7,I
17,G.R.RAJENDRAN,Independent,82,2,84,0.07,16,13,I
18,S.JAYAKALPANA,Independent,171,0,171,0.14,16,9,I
19,NOTA,None of the Above,1167,9,1176,0.99,16,6,NOTA
1,KUMAR.S,Bahujan Samaj Party,180,0,180,0.15,17,9,BSP
2,MURTHY.R.IDREAM,Dravida Munnetra Kazhagam,64095,329,64424,53.16,17,1,DMK
3,JAYAKUMAR.D,All India Anna Dravida Munnetra Kazhagam,36458,187,36645,30.24,17,2,AIADMK
4,KAMALI.S,Naam Tamilar Katchi,7923,30,7953,6.56,17,4,NTK
5,GUNASEKARAN.S,Makkal Needhi Maiam,8139,27,8166,6.74,17,3,MNM
6,MOHAN.A,Tipu Sultan Party,172,0,172,0.14,17,10,TSP
7,RAMAJAYAM.C,Amma Makkal Munnettra Kazagam,1124,4,1128,0.93,17,5,AMMK
8,JAMES MARTIN.M,Tamil Nadu Ilangyar Katchi,554,3,557,0.46,17,7,TNIK
9,KARUNAKARAN.H,Independent,26,0,26,0.02,17,24,I
10,KARTHICK.V,Independent,21,0,21,0.02,17,25,I
11,KALIDASS.K.R,Independent,27,0,27,0.02,17,22,I
12,GOKUL.G,Independent,52,0,52,0.04,17,18,I
13,SATHISH.S,Independent,30,0,30,0.02,17,21,I
14,SUGANTHAN.T,Independent,205,0,205,0.17,17,8,I
15,SUNDARAPANDIAN.R,Independent,60,0,60,0.05,17,14,I
16,SUBRAMANI.S.N,Independent,85,0,85,0.07,17,13,I
17,CHELLAPPPAN.T,Independent,50,0,50,0.04,17,19,I
18,SELVAKUMAR.J,Independent,133,0,133,0.11,17,11,I
19,DHANASEKARAN.G,Independent,109,0,109,0.09,17,12,I
20,DINAKARAN.S,Independent,56,0,56,0.05,17,16,I
21,PRASATH.K,Independent,58,0,58,0.05,17,15,I
22,PRABHAKARAN.V,Independent,55,0,55,0.05,17,17,I
23,PRABHU.D,Independent,18,0,18,0.01,17,26,I
